country,population
China: Jiangxi,4.4567475e7
China: Jilin,2.7462297e7
China: Liaoning,4.3746323e7
China: Macau,552300.0
China: Ningxia,6.30135e6
China: Qinghai,5.626722e6
China: Shaanxi,3.7327378e7
China: Shandong,9.5793065e7
China: Shanghai,2.3019148e7
China: Shanxi,3.5712111e7
China: Sichuan,8.04182e7
China: Tianjin,1.2938224e7
China: Tibet,3.002166e6
China: Xinjiang,2.1813334e7
China: Yunnan,4.5966239e7
China: Zhejiang,5.4426891e7
Colombia,5.0882884e7
Comoros,
Congo (Brazzaville),5.518092e6
Congo (Kinshasa),8.9561404e7
Costa Rica,5.094114e6
Cote d'Ivoire,2.6378275e7
Croatia,4.105268e6
Cuba,1.1326616e7
Cyprus,1.207361e6
Czechia,1.0708982e7
Denmark,5.792203e6
Denmark: Faroe Islands,48497.0
Denmark: Greenland,56025.0
Denmark: Mainland,5.687681e6
Diamond Princess,2000.0
Djibouti,988002.0
Dominica,71991.0
Dominican Republic,1.0847904e7
Ecuador,1.764306e7
Egypt,1.02334403e8
El Salvador,6.486201e6
Equatorial Guinea,1.402985e6
Eritrea,3.546427e6
Estonia,1.326539e6
Eswatini,1.160164e6
Ethiopia,1.14963583e8
Fiji,896444.0
Finland,5.540718e6
France,6.8080736e7
France: French Guiana,290691.0
France: French Polynesia,277679.0
France: Guadeloupe,395700.0
France: Mainland,6.5273512e7
France: Martinique,376480.0
France: Mayotte,270372.0
France: New Caledonia,284060.0
France: Reunion,859959.0
France: Saint Barthelemy,9131.0
France: Saint Pierre and Miquelon,5888.0
France: St Martin,37264.0
Gabon,2.225728e6
Gambia,2.416664e6
Georgia,3.989175e6
Germany,8.3783945e7
Ghana,3.1072945e7
Greece,1.0423056e7
Grenada,112519.0
Guatemala,1.7915567e7
Guinea,1.3132792e7
Guinea-Bissau,1.967998e6
Guyana,786559.0
Haiti,1.1402533e7
Holy See,809.0
Honduras,9.904608e6
Hungary,9.66035e6
Iceland,341250.0
India,1.380004385e9
Indonesia,2.73523621e8
Iran,8.3992953e7
Iraq,4.0222503e7
Ireland,4.937796e6
Israel,8.655541e6
Italy,6.0461828e7
Jamaica,2.961161e6
Japan,1.26476458e8
Jordan,1.020314e7
Kazakhstan,1.8776707e7
Kenya,5.37713e7
"Korea, South",5.1269183e7
Kosovo,1.845e6
Kuwait,4.270563e6
Kyrgyzstan,6.524191e6
Laos,7.275556e6
Latvia,1.886202e6
Lebanon,6.825442e6
Lesotho,
Liberia,5.057677e6
Libya,6.871287e6
Liechtenstein,38137.0
Lithuania,2.722291e6
Luxembourg,625976.0
MS Zaandam,1400.0
Madagascar,2.7691019e7
Malawi,1.9129955e7
Malaysia,3.2365998e7
Maldives,540542.0
Mali,2.0250834e7
Malta,441539.0
Mauritania,4.64966e6
Mauritius,1.271767e6
Mexico,1.28932753e8
Moldova,4.033963e6
Monaco,39244.0
Mongolia,3.278292e6
Montenegro,628062.0
Morocco,3.6910558e7
Mozambique,3.1255435e7
Namibia,2.540916e6
Nepal,2.9136808e7
Netherlands,1.7466378e7
Netherlands: Aruba,105845.0
"Netherlands: Bonaire, Sint Eustatius and Saba",25157.0
Netherlands: Curacao,159849.0
Netherlands: Mainland,1.7134873e7
Netherlands: Sint Maarten,40654.0
New Zealand,4.822233e6
Nicaragua,6.624554e6
Niger,2.4206636e7
Nigeria,2.06139587e8
North Macedonia,2.08338e6
Norway,5.421242e6
Oman,5.106622e6
Pakistan,2.20892331e8
Panama,4.314768e6
Papua New Guinea,8.947027e6
Paraguay,7.13253e6
Peru,3.2971846e7
Philippines,1.09581085e8
Poland,3.7846605e7
Portugal,1.0196707e7
Qatar,2.88106e6
Romania,1.9237682e7
Russia,1.4593446e8
Rwanda,1.2952209e7
Saint Kitts and Nevis,53192.0
Saint Lucia,183629.0
Saint Vincent and the Grenadines,110947.0
San Marino,33938.0
Sao Tome and Principe,219161.0
Saudi Arabia,3.4813867e7
Senegal,1.674393e7
Serbia,8.73737e6
Seychelles,98340.0
Sierra Leone,7.976985e6
Singapore,5.850343e6
Slovakia,5.459643e6
Slovenia,2.078932e6
Somalia,1.5893219e7
South Africa,5.930869e7
South Sudan,1.1193729e7
Spain,4.6754783e7
Sri Lanka,2.141325e7
Sudan,4.3849269e7
Suriname,586634.0
Sweden,1.009927e7
Switzerland,8.654618e6
Syria,1.7500657e7
Taiwan*,2.3816775e7
Tajikistan,
Tanzania,5.9734213e7
Thailand,6.9799978e7
Timor-Leste,1.318442e6
Togo,8.278737e6
Trinidad and Tobago,1.399491e6
Tunisia,1.1818618e7
Turkey,8.4339067e7
US,3.31002647e8
US: Alabama,4.903185e6
US: Alaska,731545.0
US: American Samoa,55641.0
US: Arizona,7.278717e6
US: Arkansas,3.017825e6
US: California,3.9512223e7
US: Colorado,5.758736e6
US: Connecticut,3.565287e6
US: Delaware,973764.0
US: Diamond Princess,2000.0
US: District of Columbia,705749.0
US: Florida,2.1477737e7
US: Georgia,1.0617423e7
US: Grand Princess,2000.0
US: Guam,165718.0
US: Hawaii,1.415872e6
US: Idaho,1.787065e6
US: Illinois,1.2671821e7
US: Indiana,6.732219e6
US: Iowa,3.15507e6
US: Kansas,2.913314e6
US: Kentucky,4.467673e6
US: Louisiana,4.648794e6
US: Maine,1.344212e6
US: Maryland,6.04568e6
US: Massachusetts,6.949503e6
US: Michigan,9.986857e6
US: Minnesota,5.639632e6
US: Mississippi,2.976149e6
US: Missouri,6.137428e6
US: Montana,1.068778e6
US: Nebraska,1.934408e6
US: Nevada,3.080156e6
US: New Hampshire,1.359711e6
US: New Jersey,8.88219e6
US: New Mexico,2.096829e6
US: New York,1.9453561e7
US: North Carolina,1.0488084e7
US: North Dakota,762062.0
US: Northern Mariana Islands,55194.0
US: Ohio,1.16891e7
US: Oklahoma,3.956971e6
US: Oregon,4.217737e6
US: Pennsylvania,1.2801989e7
US: Puerto Rico,3.193694e6
US: Rhode Island,1.059361e6
US: South Carolina,5.148714e6
US: South Dakota,884659.0
US: Tennessee,6.833174e6
US: Texas,2.8995881e7
US: Utah,3.205958e6
US: Vermont,623989.0
US: Virgin Islands,106405.0
US: Virginia,8.535519e6
US: Washington,7.614893e6
US: West Virginia,1.792147e6
US: Wisconsin,5.822434e6
US: Wyoming,578759.0
Uganda,4.5741e7
Ukraine,4.3733759e7
United Arab Emirates,9.8904e6
United Kingdom,6.7886004e7
United Kingdom: Anguilla,15094.0
United Kingdom: Bermuda,63968.0
United Kingdom: British Virgin Islands,29802.0
United Kingdom: Cayman Islands,64174.0
United Kingdom: Channel Islands,170499.0
United Kingdom: Falkland Islands (Malvinas),2840.0
United Kingdom: Gibraltar,33718.0
United Kingdom: Isle of Man,84077.0
United Kingdom: Mainland,6.7886004e7
United Kingdom: Montserrat,5900.0
United Kingdom: Turks and Caicos Islands,37665.0
Uruguay,3.473727e6
Uzbekistan,3.3469199e7
Venezuela,2.8435943e7
Vietnam,9.7338583e7
West Bank and Gaza,4.569e6
Western Sahara,597330.0
Yemen,2.9825968e7
Zambia,1.8383956e7
Zimbabwe,1.4862927e7
World,7.794798729e9
Germany: Baden-Württemberg,1.1069533e7
Germany: Bayern,1.3076721e7
Germany: Berlin,3.644826e6
Germany: Brandenburg,2.511917e6
Germany: Bremen,682986.0
Germany: Hamburg,1.841179e6
Germany: Hessen,7.982448e6
Germany: Mecklenburg-Vorpommern,1.609675e6
Germany: Niedersachsen,7.982448e6
Germany: Nordrhein-Westfalen,1.7932651e7
Germany: Rheinland-Pfalz,4.084844e6
Germany: Saarland,990509.0
Germany: Sachsen,4.077937e6
Germany: Sachsen-Anhalt,2.208321e6
Germany: Schleswig-Holstein,2.896712e6
Germany: Thüringen,2.143145e6
EU,4.48389251e8
UN: Africa,
UN: Asia-Pacific,
UN: Eastern Europe,3.39831453e8
UN: Latin America and the Caribbean,6.49376323e8
UN: Western Europe and Others (+ US),9.19754175e8
OECD,1.316608199e9
North America,5.87270272e8
South America,4.30457607e8
Europe,8.69103036e8
Asia,
Arab League,
