date,country,confirmed,deaths,death_rate,new_cases,new_deaths,acceleration_cases,acceleration_deaths,days_since_100,days_since_10,double_5_cases,double_1_deaths,double_20_cases,double_3_cases,double_3_deaths,double_5_deaths,double_1_cases,double_10_deaths,double_10_cases,double_20_deaths
2020-03-24,US: Connecticut,618.0,12.0,0.019417475728155338,203.0,2.0,115.0,0.0,6,1,317.99999999999983,12.0,189.0839312854327,504.79353452588754,12.0,12.0,5088.0,12.0,224.85995641732205,12.0
2020-03-25,US: Connecticut,875.0,19.0,0.021714285714285714,257.0,7.0,54.0,5.0,7,2,365.2860768890569,24.0,195.75196172184175,636.0000000000001,15.119052598738477,13.784380259964419,10176.0,12.861281550435518,240.99893407515322,12.423179086096532
2020-03-26,US: Connecticut,1012.0,21.0,0.020750988142292492,137.0,2.0,-120.0,-5.0,8,3,419.60351562578006,48.0,202.65513974376276,801.3097877331395,19.048812623618392,15.834094929274727,20352.0,13.784380259964419,258.29626204128283,12.861281550435521
2020-03-27,US: Connecticut,1291.0,27.0,0.020914020139426802,279.0,6.0,142.0,4.0,9,4,481.9978681503062,96.0,209.8017578128903,1009.5870690517751,24.0,18.18859879812477,40704.0,14.773732960138993,276.8350791281674,13.314833664814145
2020-03-28,US: Connecticut,1524.0,33.0,0.021653543307086614,233.0,6.0,-46.0,0.0,10,5,553.6701582563344,192.0,217.200400823949,1272.0000000000002,30.238105197476955,20.89321351910697,81408.0,15.834094929274729,296.7044913087047,13.784380259964426
2020-03-29,US: Connecticut,1993.0,34.0,0.017059708981435023,469.0,1.0,236.0,-5.0,11,6,635.9999999999993,384.0,224.85995641732225,1602.619575466279,38.097625247236785,23.999999999999986,162816.0,16.97056274847714,317.99999999999994,14.27048538003266
2020-03-30,US: Connecticut,2571.0,36.0,0.014002333722287048,578.0,2.0,109.0,1.0,12,7,730.5721537781134,768.0,232.7896256553546,2019.1741381035501,48.0,27.56876051992882,325632.0,18.188598798124776,340.82396108654115,14.773732960139004
2020-03-31,US: Connecticut,3128.0,69.0,0.022058823529411766,557.0,33.0,-21.0,31.0,13,8,839.2070312515597,1536.0,240.99893407515347,2544.0000000000005,60.47621039495391,31.668189858549436,651264.0,19.494057512549652,365.28607688905703,15.294727527831155
2020-04-01,US: Connecticut,3557.0,85.0,0.023896542029800395,429.0,16.0,-128.0,-17.0,14,9,963.9957363006118,3072.0,249.49774313116694,3205.239150932558,76.19525049447357,36.377197596249516,1.302528e6,20.89321351910698,391.5039234436833,15.834094929274741
2020-04-02,US: Connecticut,3824.0,112.0,0.029288702928870293,267.0,27.0,-162.0,11.0,15,10,1107.3403165126683,6144.0,258.2962620412831,4038.3482762071003,96.0,41.78642703821391,2.605056e6,22.392791796883376,419.60351562578023,16.392483081052756
2020-04-03,US: Connecticut,4915.0,132.0,0.026856561546286878,1091.0,20.0,824.0,-7.0,16,11,1271.999999999998,12288.0,267.40506005068147,5088.000000000001,120.95242078990782,47.999999999999936,5.210112e6,23.999999999999996,449.71991283464405,16.970562748477153
2020-04-04,US: Connecticut,5276.0,165.0,0.03127369219105383,361.0,33.0,-730.0,13.0,17,12,1461.144307556226,24576.0,276.83507912816776,6410.478301865116,152.39050098894714,55.1375210398576,1.0420224e7,25.72256310087103,481.9978681503064,17.56902835134752
2020-04-05,US: Connecticut,5675.0,189.0,0.03330396475770925,399.0,24.0,38.0,-9.0,18,13,1678.4140625031184,49152.0,286.59764711024434,8076.696552414201,192.0,63.33637971709883,2.0840448e7,27.568760519928833,516.5925240825655,18.188598798124794
2020-04-06,US: Connecticut,6906.0,206.0,0.029829134086301768,1231.0,17.0,832.0,-7.0,19,14,1927.9914726012225,98304.0,296.7044913087051,10176.000000000002,241.90484157981564,72.75439519249899,4.1680896e7,29.547465920277983,553.6701582563346,18.830018349522035
2020-03-08,US: Iowa,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,US: Iowa,8.0,0.0,0.0,5.0,0.0,5.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,US: Iowa,13.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,US: Iowa,14.0,0.0,0.0,1.0,0.0,-4.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,US: Iowa,16.0,0.0,0.0,2.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,US: Iowa,17.0,0.0,0.0,1.0,0.0,-1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,US: Iowa,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,US: Iowa,22.0,0.0,0.0,4.0,0.0,3.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,US: Iowa,22.0,0.0,0.0,0.0,0.0,-4.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,US: Iowa,29.0,0.0,0.0,7.0,0.0,7.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,US: Iowa,38.0,0.0,0.0,9.0,0.0,2.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,US: Iowa,44.0,0.0,0.0,6.0,0.0,-3.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,US: Iowa,45.0,0.0,0.0,1.0,0.0,-5.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,US: Iowa,68.0,0.0,0.0,23.0,0.0,22.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,US: Iowa,90.0,0.0,0.0,22.0,0.0,-1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,US: Iowa,105.0,0.0,0.0,15.0,0.0,-7.0,0.0,1,0,105.0,0.0,105.0,105.0,0.0,0.0,105.0,0.0,105.0,0.0
2020-03-24,US: Iowa,124.0,1.0,0.008064516129032258,19.0,1.0,4.0,1.0,2,0,120.61332727468866,0.0,108.70281700334465,132.29171023896168,0.0,0.0,210.0,0.0,112.53621356631078,0.0
2020-03-25,US: Iowa,145.0,1.0,0.006896551724137931,21.0,0.0,2.0,-1.0,3,0,138.54833063115387,0.0,112.5362135663108,166.67711045666096,0.0,0.0,420.0,0.0,120.61332727468867,0.0
2020-03-26,US: Iowa,179.0,1.0,0.00558659217877095,34.0,0.0,13.0,0.0,4,0,159.15023948359175,0.0,116.50479456712375,210.00000000000003,0.0,0.0,840.0,0.0,129.2701634012162,0.0
2020-03-27,US: Iowa,235.0,3.0,0.01276595744680851,56.0,2.0,22.0,2.0,5,0,182.815618292186,0.0,120.61332727468871,264.5834204779234,0.0,0.0,1680.0,0.0,138.54833063115387,0.0
2020-03-28,US: Iowa,298.0,3.0,0.010067114093959731,63.0,0.0,7.0,-2.0,6,0,209.9999999999999,0.0,124.86674707528576,333.35422091332197,0.0,0.0,3360.0,0.0,148.49242404917496,0.0
2020-03-29,US: Iowa,336.0,4.0,0.011904761904761904,38.0,1.0,-25.0,1.0,7,0,241.2266545493772,0.0,129.27016340121628,420.0000000000001,0.0,0.0,6720.0,0.0,159.15023948359178,0.0
2020-03-30,US: Iowa,424.0,6.0,0.014150943396226415,88.0,2.0,50.0,1.0,8,0,277.0966612623076,0.0,133.8288658685226,529.1668409558469,0.0,0.0,13440.0,0.0,170.57300323480942,0.0
2020-03-31,US: Iowa,498.0,7.0,0.014056224899598393,74.0,1.0,-14.0,-1.0,9,0,318.3004789671833,0.0,138.548330631154,666.7084418266439,0.0,0.0,26880.0,0.0,182.81561829218603,0.0
2020-04-01,US: Iowa,549.0,9.0,0.01639344262295082,51.0,2.0,-23.0,1.0,10,0,365.6312365843718,0.0,143.43422695921163,840.0000000000002,0.0,0.0,53760.0,0.0,195.9369282227295,0.0
2020-04-02,US: Iowa,614.0,11.0,0.017915309446254073,65.0,2.0,14.0,0.0,11,1,419.99999999999955,11.0,148.4924240491751,1058.3336819116937,11.0,11.0,107520.0,11.0,209.99999999999994,11.0
2020-04-03,US: Iowa,699.0,11.0,0.015736766809728183,85.0,0.0,20.0,-2.0,12,2,482.4533090987541,22.0,153.7289980742908,1333.4168836532879,13.859131548843605,12.635681904967385,215040.0,11.789508087899225,225.0724271326215,11.387914162255154
2020-04-04,US: Iowa,786.0,11.0,0.013994910941475827,87.0,0.0,2.0,0.0,13,3,554.1933225246148,44.0,159.15023948359197,1680.0000000000005,17.461411571650196,14.514587018501835,430080.0,12.635681904967385,241.2266545493773,11.789508087899227
2020-04-05,US: Iowa,868.0,22.0,0.02534562211981567,82.0,11.0,-5.0,11.0,14,4,636.6009579343662,88.0,164.76266055831786,2116.6673638233874,22.000000000000004,16.672882231614377,860160.0,13.542588546794079,258.54032680243233,12.205264192746299
2020-04-06,US: Iowa,946.0,25.0,0.026427061310782242,78.0,3.0,-4.0,-8.0,15,5,731.2624731687431,176.0,170.57300323480968,2666.8337673065757,27.718263097687213,19.152112392514727,1.72032e6,14.514587018501835,277.0966612623077,12.63568190496739
2020-03-09,US: Louisiana,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,US: Louisiana,6.0,0.0,0.0,5.0,0.0,5.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,US: Louisiana,13.0,0.0,0.0,7.0,0.0,2.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,US: Louisiana,14.0,0.0,0.0,1.0,0.0,-6.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,US: Louisiana,36.0,0.0,0.0,22.0,0.0,21.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,US: Louisiana,77.0,1.0,0.012987012987012988,41.0,1.0,19.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,US: Louisiana,103.0,2.0,0.019417475728155338,26.0,1.0,-15.0,0.0,1,0,103.0,0.0,103.0,103.0,0.0,0.0,103.0,0.0,103.0,0.0
2020-03-16,US: Louisiana,137.0,3.0,0.021897810218978103,34.0,1.0,8.0,0.0,2,0,118.3159305646946,0.0,106.63228715566188,129.77186813917194,0.0,0.0,206.0,0.0,110.3926666412382,0.0
2020-03-17,US: Louisiana,196.0,5.0,0.025510204081632654,59.0,2.0,25.0,1.0,3,0,135.90931480960808,0.0,110.39266664123821,163.50230835272455,0.0,0.0,412.0,0.0,118.3159305646946,0.0
2020-03-18,US: Louisiana,280.0,7.0,0.025,84.0,2.0,25.0,0.0,4,0,156.11880635057094,0.0,114.28565562298806,206.00000000000003,0.0,0.0,824.0,0.0,126.80787457452637,0.0
2020-03-19,US: Louisiana,392.0,10.0,0.025510204081632654,112.0,3.0,28.0,1.0,5,0,179.33341603900146,0.0,118.31593056469464,259.5437362783439,0.0,0.0,1648.0,0.0,135.9093148096081,0.0
